startpoint,endpoint,type
_36314_,_35044_,b
_36314_,_35076_,b
_36314_,_35108_,b
_36314_,_35140_,b
_36314_,_35172_,b
_36314_,_35204_,b
_36314_,_35236_,b
_36314_,_35268_,b
_36314_,_35300_,b
_36314_,_35332_,b
_36314_,_35364_,b
_36314_,_35396_,b
_36314_,_35428_,b
_36314_,_35460_,b
_36314_,_35492_,b
_36314_,_35524_,b
_36314_,_35556_,b
_36314_,_35588_,b
_36314_,_35620_,b
_36314_,_35652_,b
_36314_,_35684_,b
_36314_,_34754_,b
_36314_,_34786_,b
_36314_,_34818_,b
_36314_,_34850_,b
_36314_,_34882_,b
_36314_,_34914_,b
_36314_,_34946_,b
_36314_,_34978_,b
_36314_,_35010_,b
_36314_,_35042_,b
_36314_,_35074_,b
_36314_,_35106_,b
_36314_,_35138_,b
_36314_,_35170_,b
_36314_,_35202_,b
_36314_,_35234_,b
_36314_,_35266_,b
_36314_,_35298_,b
_36314_,_35330_,b
_36314_,_35362_,b
_36314_,_35394_,b
_36314_,_35426_,b
_36314_,_35458_,b
_36314_,_35490_,b
_36314_,_35522_,b
_36314_,_35554_,b
_36314_,_35586_,b
_36314_,_35618_,b
_36314_,_35650_,b
_36314_,_35682_,b
_36314_,_34755_,b
_36314_,_34787_,b
_36314_,_34819_,b
_36314_,_34851_,b
_36314_,_34883_,b
_36314_,_34915_,b
_36314_,_34947_,b
_36314_,_34979_,b
_36314_,_35011_,b
_36314_,_35043_,b
_36314_,_35075_,b
_36314_,_35107_,b
_36314_,_35139_,b
_36314_,_35171_,b
_36314_,_35203_,b
_36314_,_35235_,b
_36314_,_35267_,b
_36314_,_35299_,b
_36314_,_35331_,b
_36314_,_35363_,b
_36314_,_35395_,b
_36314_,_35427_,b
_36314_,_35459_,b
_36314_,_35491_,b
_36314_,_35523_,b
_36314_,_35555_,b
_36314_,_35587_,b
_36314_,_35619_,b
_36314_,_35651_,b
_36314_,_35683_,b
_36314_,_34516_,b
_36314_,_34482_,b
_36314_,_34753_,b
_36314_,_34785_,b
_36314_,_34817_,b
_36314_,_34849_,b
_36314_,_34881_,b
_36314_,_34913_,b
_36314_,_34945_,b
_36314_,_34977_,b
_36314_,_35009_,b
_36314_,_35041_,b
_36314_,_35073_,b
_36314_,_35105_,b
_36314_,_35137_,b
_36314_,_35169_,b
_36314_,_35201_,b
_36314_,_35233_,b
_36314_,_35265_,b
_36314_,_35297_,b
_36314_,_35329_,b
_36314_,_35361_,b
_36314_,_35393_,b
_36314_,_35425_,b
_36314_,_35457_,b
_36314_,_35489_,b
_36314_,_35521_,b
_36314_,_35553_,b
_36314_,_35585_,b
_36314_,_35617_,b
_36314_,_35649_,b
_36314_,_35681_,b
_36314_,_34515_,b
_36314_,_34752_,b
_36314_,_34784_,b
_36314_,_34816_,b
_36314_,_34848_,b
_36314_,_34880_,b
_36314_,_34912_,b
_36314_,_34944_,b
_36314_,_34976_,b
_36314_,_35008_,b
_36314_,_35040_,b
_36314_,_35072_,b
_36314_,_35104_,b
_36314_,_35136_,b
_36314_,_35168_,b
_36314_,_35200_,b
_36314_,_35232_,b
_36314_,_35264_,b
_36314_,_35296_,b
_36314_,_35328_,b
_36314_,_35360_,b
_36314_,_35392_,b
_36314_,_35424_,b
_36314_,_35456_,b
_36314_,_35488_,b
_36314_,_35520_,b
_36314_,_35552_,b
_36314_,_35584_,b
_36314_,_35616_,b
_36314_,_35648_,b
_36314_,_35680_,b
_36314_,_34480_,b
_36314_,_34750_,b
_36314_,_34782_,b
_36314_,_34814_,b
_36314_,_34846_,b
_36314_,_34878_,b
_36314_,_34910_,b
_36314_,_34942_,b
_36314_,_34974_,b
_36314_,_35006_,b
_36314_,_35038_,b
_36314_,_35070_,b
_36314_,_35102_,b
_36314_,_35134_,b
_36314_,_35166_,b
_36314_,_35198_,b
_36314_,_35230_,b
_36314_,_35262_,b
_36314_,_35294_,b
_36314_,_35326_,b
_36314_,_35358_,b
_36314_,_35390_,b
_36314_,_35422_,b
_36314_,_35454_,b
_36314_,_35486_,b
_36314_,_35518_,b
_36314_,_35550_,b
_36314_,_35582_,b
_36314_,_35614_,b
_36314_,_35646_,b
_36314_,_35678_,b
_36314_,_34481_,b
_36314_,_34751_,b
_36314_,_34783_,b
_36314_,_34815_,b
_36314_,_34847_,b
_36314_,_34879_,b
_36314_,_34911_,b
_36314_,_34943_,b
_36314_,_34975_,b
_36314_,_35007_,b
_36314_,_35039_,b
_36314_,_35071_,b
_36314_,_35103_,b
_36314_,_35135_,b
_36314_,_35167_,b
_36314_,_35199_,b
_36314_,_35231_,b
_36314_,_35263_,b
_36314_,_35295_,b
_36314_,_35327_,b
_36314_,_35359_,b
_36314_,_35391_,b
_36314_,_35423_,b
_36314_,_35455_,b
_36314_,_35487_,b
_36314_,_35519_,b
_36314_,_35551_,b
_36314_,_35583_,b
_36314_,_35615_,b
_36314_,_35647_,b
_36314_,_35679_,b
_36314_,_34748_,b
_36314_,_34780_,b
_36314_,_34812_,b
_36314_,_34844_,b
_36314_,_34876_,b
_36314_,_34908_,b
_36314_,_34940_,b
_36314_,_34972_,b
_36314_,_35004_,b
_36314_,_35036_,b
_36314_,_35068_,b
_36314_,_35100_,b
_36314_,_35132_,b
_36314_,_35164_,b
_36314_,_35196_,b
_36314_,_35228_,b
_36314_,_35260_,b
_36314_,_35292_,b
_36314_,_35324_,b
_36314_,_35356_,b
_36314_,_35388_,b
_36314_,_35420_,b
_36314_,_35452_,b
_36314_,_35484_,b
_36314_,_35516_,b
_36314_,_35548_,b
_36314_,_35580_,b
_36314_,_35612_,b
_36314_,_35644_,b
_36314_,_35676_,b
_36314_,_34747_,b
_36314_,_34779_,b
_36314_,_34811_,b
_36314_,_34843_,b
_36314_,_34875_,b
_36314_,_34907_,b
_36314_,_34939_,b
_36314_,_34971_,b
_36314_,_35003_,b
_36314_,_35035_,b
_36314_,_35067_,b
_36314_,_35099_,b
_36314_,_35131_,b
_36314_,_35163_,b
_36314_,_35195_,b
_36314_,_35227_,b
_36314_,_35259_,b
_36314_,_35291_,b
_36314_,_35323_,b
_36314_,_35355_,b
_36314_,_35387_,b
_36314_,_35419_,b
_36314_,_35451_,b
_36314_,_35483_,b
_36314_,_35515_,b
_36314_,_35547_,b
_36314_,_35579_,b
_36314_,_35611_,b
_36314_,_35643_,b
_36314_,_35675_,b
_36314_,_34514_,b
_36314_,_34479_,b
_36314_,_34478_,b
_36314_,_34476_,b
_36314_,_34746_,b
_36314_,_34778_,b
_36314_,_34810_,b
_36314_,_34842_,b
_36314_,_34874_,b
_36314_,_34906_,b
_36314_,_34938_,b
_36314_,_34970_,b
_36314_,_35002_,b
_36314_,_35034_,b
_36314_,_35066_,b
_36314_,_35098_,b
_36314_,_35130_,b
_36314_,_35162_,b
_36314_,_35194_,b
_36314_,_35226_,b
_36314_,_35258_,b
_36314_,_35290_,b
_36314_,_35322_,b
_36314_,_35354_,b
_36314_,_35386_,b
_36314_,_35418_,b
_36314_,_35450_,b
_36314_,_35482_,b
_36314_,_35514_,b
_36314_,_35546_,b
_36314_,_35578_,b
_36314_,_35610_,b
_36314_,_35642_,b
_36314_,_35674_,b
_36314_,_34477_,b
_36314_,_34749_,b
_36314_,_34781_,b
_36314_,_34813_,b
_36314_,_34845_,b
_36314_,_34877_,b
_36314_,_34909_,b
_36314_,_34941_,b
_36314_,_34973_,b
_36314_,_35005_,b
_36314_,_35037_,b
_36314_,_35069_,b
_36314_,_35101_,b
_36314_,_35133_,b
_36314_,_35165_,b
_36314_,_35197_,b
_36314_,_35229_,b
_36314_,_35261_,b
_36314_,_35293_,b
_36314_,_35325_,b
_36314_,_35357_,b
_36314_,_35389_,b
_36314_,_35421_,b
_36314_,_35453_,b
_36314_,_35485_,b
_36314_,_35517_,b
_36314_,_35549_,b
_36314_,_35581_,b
_36314_,_35613_,b
_36314_,_35645_,b
_36314_,_35677_,b
_36314_,_36203_,b
_36314_,_36204_,b
_36314_,_36205_,b
_36314_,_36206_,b
_36314_,_36207_,b
_36314_,_36208_,b
_36314_,_36209_,b
_36314_,_36210_,b
_36314_,_36211_,b
_36314_,_36212_,b
_36314_,_36191_,b
_36314_,_36192_,b
_36314_,_36194_,b
_36314_,_36195_,b
_36314_,_36197_,b
_36314_,_36198_,b
_36314_,_36199_,b
_36314_,_36201_,b
_36314_,_36202_,b
_36314_,_36221_,b
_36314_,_34474_,b
_36314_,_34473_,b
_36314_,_36226_,b
_36314_,_36227_,b
_36314_,_36228_,b
_36314_,_36229_,b
_36314_,_36230_,b
_36314_,_36231_,b
_36314_,_36232_,b
_36314_,_36234_,b
_36314_,_36235_,b
_36314_,_36236_,b
_36314_,_36237_,b
_36314_,_36238_,b
_36314_,_36239_,b
_36314_,_36240_,b
_36314_,_36241_,b
_36314_,_36242_,b
_36314_,_36243_,b
_36314_,_36244_,b
_36314_,_36245_,b
_36314_,_36246_,b
_36314_,_36247_,b
_36314_,_36248_,b
_36314_,_36249_,b
_36314_,_36250_,b
_36314_,_36251_,b
_36314_,_36252_,b
_36314_,_36253_,b
_36314_,_36254_,b
_36314_,_36255_,b
_36314_,_36256_,b
_36314_,_34509_,b
_36314_,_34420_,b
_36314_,_34428_,b
_36314_,_34432_,b
_36314_,_34436_,b
_36314_,_34424_,b
_36314_,_34426_,b
_36314_,_34430_,b
_36314_,_34434_,b
_36314_,_34438_,b
_36314_,_34440_,b
_36314_,_36190_,b
_36314_,_36193_,b
_36314_,_36196_,b
_36314_,_36200_,b
_36314_,_34411_,b
_36314_,_35960_,b
_36314_,_35962_,b
_36314_,_35964_,b
_36314_,_36257_,b
_36314_,_34403_,b
_36314_,_34404_,b
_36314_,_34402_,b
_36314_,_34405_,b
_36314_,_34406_,b
_36314_,_34407_,b
_36314_,_34408_,b
_36314_,_34409_,b
_36314_,_36305_,b
_36314_,_36318_,b
_36314_,_36306_,b
_36314_,_34669_,b
_36314_,_34639_,b
_36314_,_35965_,b
_36314_,_35967_,b
_36314_,_35969_,b
_36314_,_35971_,b
_36314_,_35973_,b
_36314_,_35979_,b
_36314_,_35985_,b
_36314_,_36222_,b
_36314_,_34400_,b
_36314_,_34394_,b
_36314_,_34395_,b
_36314_,_34396_,b
_36314_,_34397_,b
_36314_,_34398_,b
_36314_,_34399_,b
_36314_,_34401_,b
_36314_,_36223_,b
_36314_,_36213_,b
_36314_,_34472_,b
_36314_,_34429_,b
_36314_,_34431_,b
_36314_,_34423_,b
_36314_,_34439_,b
_36314_,_34427_,b
_36314_,_34433_,b
_36314_,_34435_,b
_36314_,_34437_,b
_36314_,_34422_,b
_36314_,_34425_,b
_36314_,_34667_,b
_36314_,_34649_,b
_36314_,_34641_,b
_36314_,_34645_,b
_36314_,_34653_,b
_36314_,_34655_,b
_36314_,_34657_,b
_36314_,_34659_,b
_36314_,_34661_,b
_36314_,_34663_,b
_36314_,_34665_,b
_36314_,_34643_,b
_36314_,_34415_,b
_36314_,_34416_,b
_36314_,_34419_,b
_36314_,_36320_,b
_36314_,_34417_,b
_36314_,_34418_,b
_36314_,_34414_,b
_36314_,_34421_,b
_36314_,_34413_,b
_36314_,_34475_,b
_36314_,_36298_,b
_36314_,_36214_,b
_36314_,_36215_,b
_36314_,_36216_,b
_36314_,_36217_,b
_36314_,_36218_,b
_36314_,_36219_,b
_36314_,_36220_,b
_36314_,_36296_,b
_36314_,_36323_,b
_36314_,_36304_,b
_36314_,_36303_,b
_36314_,_36309_,b
_36314_,_36312_,b
_36314_,_36324_,b
_36314_,_36233_,b
_36314_,_36189_,b
_36314_,_36294_,b
_36314_,_36299_,b
_36314_,_36300_,b
_36314_,_36301_,b
_36314_,_36302_,b
_36314_,_36317_,b
_36314_,_36308_,b
_36314_,_36310_,b
_36314_,_36307_,b
_36314_,_36314_,b
_36314_,_36315_,b
_36314_,_36313_,b
_36314_,_36321_,b
_36314_,_34410_,b
_36314_,_34642_,b
_36314_,_34644_,b
_36314_,_34650_,b
_36314_,_34648_,b
_36314_,_35731_,b
_36314_,_35733_,b
_36314_,_35735_,b
_36314_,_36295_,b
_36314_,_36319_,b
_36314_,_36311_,b
_36314_,_34441_,b
_36314_,_34442_,b
_36314_,_36297_,b
_36314_,_36316_,b
_36314_,_36225_,b
_36314_,_34510_,b
_36314_,_34513_,b
_36314_,_36258_,b
_36314_,_34745_,b
_36314_,_34777_,b
_36314_,_34809_,b
_36314_,_34841_,b
_36314_,_34873_,b
_36314_,_34905_,b
_36314_,_34937_,b
_36314_,_34969_,b
_36314_,_35001_,b
_36314_,_35033_,b
_36314_,_35065_,b
_36314_,_35097_,b
_36314_,_35129_,b
_36314_,_35161_,b
_36314_,_35193_,b
_36314_,_35225_,b
_36314_,_35257_,b
_36314_,_35289_,b
_36314_,_35321_,b
_36314_,_35353_,b
_36314_,_35385_,b
_36314_,_35417_,b
_36314_,_35449_,b
_36314_,_35481_,b
_36314_,_35513_,b
_36314_,_35545_,b
_36314_,_35577_,b
_36314_,_35609_,b
_36314_,_35641_,b
_36314_,_35673_,b
_36314_,_35728_,b
_36314_,_35742_,b
_36314_,_35732_,b
_36314_,_35734_,b
_36314_,_35736_,b
_36314_,_35738_,b
_36314_,_35740_,b
_36314_,_35746_,b
_36314_,_35752_,b
_36314_,_35730_,b
_36314_,_35968_,b
_36314_,_35970_,b
_36314_,_34412_,b
_36314_,_36322_,b
_36314_,_34656_,b
_36314_,_34646_,b
_36314_,_34512_,b
_36314_,_35981_,b
_36314_,_35976_,b
_36314_,_35988_,b
_36314_,_36293_,b
_36314_,_34443_,b
_36314_,_34744_,b
_36314_,_34776_,b
_36314_,_34808_,b
_36314_,_34840_,b
_36314_,_34872_,b
_36314_,_34904_,b
_36314_,_34936_,b
_36314_,_34968_,b
_36314_,_35000_,b
_36314_,_35032_,b
_36314_,_35064_,b
_36314_,_35096_,b
_36314_,_35128_,b
_36314_,_35160_,b
_36314_,_35192_,b
_36314_,_35224_,b
_36314_,_35256_,b
_36314_,_35288_,b
_36314_,_35320_,b
_36314_,_35352_,b
_36314_,_35384_,b
_36314_,_35416_,b
_36314_,_35448_,b
_36314_,_35480_,b
_36314_,_35512_,b
_36314_,_35544_,b
_36314_,_35576_,b
_36314_,_35608_,b
_36314_,_35640_,b
_36314_,_35672_,b
_36314_,_34647_,b
_36314_,_34651_,b
_36314_,_34508_,b
_36314_,_35747_,b
_36314_,_35755_,b
_36314_,_35757_,b
_36314_,_35987_,b
_36314_,_35975_,b
_36314_,_35977_,b
_36314_,_35959_,b
_36314_,_35961_,b
_36314_,_35963_,b
_36314_,_35989_,b
_36314_,_35982_,b
_36314_,_35972_,b
_36314_,_34640_,b
_36314_,_35748_,b
_36314_,_35754_,b
_36314_,_35966_,b
_36314_,_35974_,b
_36314_,_35978_,b
_36314_,_35980_,b
_36314_,_35984_,b
_36314_,_35727_,b
_36314_,_35990_,b
_36314_,_35726_,b
_36314_,_34506_,b
_36314_,_34511_,b
_36314_,_35983_,b
_36314_,_34668_,b
_36314_,_34666_,b
_36314_,_34654_,b
_36314_,_34658_,b
_36314_,_34660_,b
_36314_,_34662_,b
_36314_,_34664_,b
_36314_,_34652_,b
_36314_,_35751_,b
_36314_,_35729_,b
_36314_,_35749_,b
_36314_,_35737_,b
_36314_,_35739_,b
_36314_,_35741_,b
_36314_,_34505_,b
_36314_,_35743_,b
_36314_,_34743_,b
_36314_,_34775_,b
_36314_,_34807_,b
_36314_,_34839_,b
_36314_,_34871_,b
_36314_,_34903_,b
_36314_,_34935_,b
_36314_,_34967_,b
_36314_,_34999_,b
_36314_,_35031_,b
_36314_,_35063_,b
_36314_,_35095_,b
_36314_,_35127_,b
_36314_,_35159_,b
_36314_,_35191_,b
_36314_,_35223_,b
_36314_,_35255_,b
_36314_,_35287_,b
_36314_,_35319_,b
_36314_,_35351_,b
_36314_,_35383_,b
_36314_,_35415_,b
_36314_,_35447_,b
_36314_,_35479_,b
_36314_,_35511_,b
_36314_,_35543_,b
_36314_,_35575_,b
_36314_,_35607_,b
_36314_,_35639_,b
_36314_,_35671_,b
_36314_,_34471_,b
_36314_,_35744_,b
_36314_,_35756_,b
_36314_,_35750_,b
