startpoint,endpoint,type
_44241_,_44082_,b
_44241_,_44074_,c
_44336_,_44252_,b
_44336_,_44284_,b
_44336_,_44283_,b
_44336_,_44316_,b
_44336_,_44220_,b
_44336_,_44279_,b
_44336_,_44215_,b
_44336_,_44247_,b
_44336_,_44219_,b
_44336_,_44251_,b
_44336_,_44315_,b
_44336_,_44049_,c
_44252_,_43973_,c
_44252_,_44141_,c
_44252_,_44284_,b
_44252_,_44252_,c
_44327_,_44243_,b
_44327_,_44307_,b
_44327_,_44275_,b
_44327_,_44339_,b
_44327_,_44016_,c
_44243_,_44076_,c
_44243_,_44084_,b
_44284_,_44173_,b
_44284_,_43965_,c
_44284_,_44316_,c
_44322_,_44332_,b
_44322_,_44236_,b
_44322_,_44233_,b
_44322_,_44265_,b
_44322_,_44268_,b
_44322_,_44300_,b
_44322_,_44297_,b
_44322_,_44333_,b
_44322_,_44237_,b
_44322_,_44269_,b
_44322_,_44301_,b
_44322_,_44263_,b
_44322_,_44295_,b
_44322_,_44302_,b
_44322_,_44334_,b
_44322_,_44238_,b
_44322_,_44231_,b
_44322_,_44327_,b
_44322_,_44270_,b
_44322_,_44235_,b
_44322_,_44329_,b
_44322_,_44264_,b
_44322_,_44296_,b
_44322_,_44232_,b
_44322_,_44328_,b
_44322_,_44267_,b
_44322_,_44331_,b
_44322_,_44234_,b
_44322_,_44330_,b
_44322_,_44299_,b
_44322_,_43987_,c
_44332_,_44021_,c
_44337_,_44050_,c
_44236_,_44045_,c
_44236_,_44236_,c
_44233_,_44090_,b
_44233_,_44042_,c
_44233_,_44265_,c
_44233_,_44233_,c
_44265_,_44034_,c
_44265_,_44122_,b
_44265_,_44297_,b
_44335_,_44285_,b
_44335_,_44221_,b
_44335_,_44253_,b
_44335_,_44248_,b
_44335_,_44280_,b
_44335_,_44216_,b
_44335_,_44312_,b
_44335_,_44286_,b
_44335_,_44222_,b
_44335_,_44254_,b
_44335_,_44318_,b
_44335_,_44217_,b
_44335_,_44313_,b
_44335_,_44281_,b
_44335_,_44317_,b
_44335_,_44249_,b
_44335_,_44218_,b
_44335_,_44250_,b
_44335_,_44314_,b
_44335_,_44311_,b
