startpoint,endpoint,type
_114301_,_116521_,b
_114301_,_115761_,b
_114301_,_114904_,b
_114301_,_114905_,b
_114301_,_114865_,b
_114301_,_116641_,b
_114301_,_114701_,b
_114301_,_115314_,b
_114301_,_116886_,b
_114301_,_115315_,b
_114301_,_115109_,b
_114301_,_116721_,b
_114301_,_116562_,b
_114301_,_116563_,b
_114301_,_115760_,b
_114301_,_114946_,b
_114301_,_116640_,b
_114301_,_117092_,b
_114301_,_115153_,b
_114301_,_116720_,b
_114301_,_115152_,b
_114301_,_116564_,b
_114301_,_114945_,b
_114301_,_115067_,b
_114301_,_117091_,b
_114301_,_114358_,b
_114301_,_115066_,b
_114301_,_114903_,b
_114301_,_114902_,b
_114301_,_114315_,b
_114301_,_116639_,b
_114301_,_116596_,b
_114301_,_116325_,b
_114301_,_114357_,b
_114301_,_116844_,b
_114301_,_115268_,b
_114301_,_115150_,b
_114301_,_115595_,b
_114301_,_115719_,b
_114301_,_115676_,b
_114301_,_115151_,b
_114301_,_114662_,b
_114301_,_114784_,b
_114301_,_115313_,b
_114301_,_115720_,b
_114301_,_116638_,b
_114301_,_116324_,b
_114301_,_113512_,b
_114301_,_116801_,b
_114301_,_116843_,b
_114301_,_114314_,b
_114301_,_116518_,b
_114301_,_115312_,b
_114301_,_115353_,b
_114301_,_114661_,b
_114301_,_114783_,b
_114301_,_116396_,b
_114301_,_116517_,b
_114301_,_117051_,b
_114301_,_115717_,b
_114301_,_115187_,b
_114301_,_117254_,b
_114301_,_116680_,b
_114301_,_115759_,b
_114301_,_114504_,b
_114301_,_115515_,b
_114301_,_117050_,b
_114301_,_115556_,b
_114301_,_116679_,b
_114301_,_116762_,b
_114301_,_115718_,b
_114301_,_117253_,b
_114301_,_117170_,b
_114301_,_114463_,b
_114301_,_114985_,b
_114301_,_114462_,b
_114301_,_116926_,b
_114301_,_116395_,b
_114301_,_115834_,b
_114301_,_114503_,b
_114301_,_114619_,b
_114301_,_116761_,b
_114301_,_116282_,b
_114301_,_116925_,b
_114301_,_116800_,b
_114301_,_115108_,b
_114301_,_116885_,b
_114301_,_115107_,b
_114301_,_114356_,b
_114301_,_116967_,b
_114301_,_115478_,b
_114301_,_116884_,b
_114301_,_115514_,b
_114301_,_115758_,b
_114301_,_115555_,b
_114301_,_115432_,b
_114301_,_114355_,b
_114301_,_114429_,b
_114301_,_116719_,b
_114301_,_114984_,b
_114301_,_116799_,d
_114301_,_115477_,b
_114301_,_117008_,b
_114301_,_114428_,b
_114301_,_114700_,b
_114301_,_114864_,b
_114301_,_113511_,b
_114301_,_116637_,b
_114301_,_114901_,b
_114301_,_115065_,b
_114301_,_116842_,b
_114301_,_114863_,b
_114301_,_115675_,d
_114301_,_117007_,b
_114301_,_114944_,b
_114301_,_114943_,b
_114301_,_117090_,b
_114301_,_114618_,b
_114301_,_116281_,b
_114301_,_117089_,b
_114301_,_117214_,b
_114301_,_115476_,b
_114301_,_115311_,b
_114301_,_116966_,b
_114301_,_115833_,b
_114301_,_115310_,b
_114301_,_115594_,b
_114301_,_115475_,b
_114301_,_115148_,b
